SNF2.1	SNF2.10	SNF2.11	SNF2.12	SNF2.13	SNF2.14	SNF2.15	SNF2.16	SNF2.17	SNF2.18	SNF2.19	SNF2.2	SNF2.20	SNF2.21	SNF2.22	SNF2.23	SNF2.24	SNF2.25	SNF2.26	SNF2.27	SNF2.28	SNF2.29	SNF2.3	SNF2.30	SNF2.31	SNF2.32	SNF2.33	SNF2.34	SNF2.35	SNF2.36	SNF2.37	SNF2.38	SNF2.39	SNF2.4	SNF2.40	SNF2.41	SNF2.42	SNF2.43	SNF2.44	SNF2.45	SNF2.46	SNF2.47	SNF2.48	SNF2.5	SNF2.6	SNF2.7	SNF2.8	SNF2.9	WT.1	WT.10	WT.11	WT.12	WT.13	WT.14	WT.15	WT.16	WT.17	WT.18	WT.19	WT.2	WT.20	WT.21	WT.22	WT.23	WT.24	WT.25	WT.26	WT.27	WT.28	WT.29	WT.3	WT.30	WT.31	WT.32	WT.33	WT.34	WT.35	WT.36	WT.37	WT.38	WT.39	WT.4	WT.40	WT.41	WT.42	WT.43	WT.44	WT.45	WT.46	WT.47	WT.48	WT.5	WT.6	WT.7	WT.8	WT.9
YER018C	586	353	510	403	237	472	664	495	646	510	498	488	580	454	413	268	693	903	822	363	501	434	422	358	758	656	639	398	288	720	403	423	951	568	412	906	441	701	509	498	396	472	395	469	346	725	611	423	297	314	434	305	293	371	265	260	231	285	479	302	345	153	314	305	247	235	366	325	225	371	278	397	345	325	394	496	220	403	677	421	275	432	569	369	301	262	515	487	247	532	324	340	517	369	627	454
YER019C-A	1589	991	1589	1121	729	1373	1600	1303	2037	1421	1370	1349	1428	1303	1236	1054	1734	1774	1734	1126	1373	1350	1301	980	1436	1601	1718	1432	978	1631	1236	1432	2397	1698	1214	1865	1206	1823	1377	1442	1471	1479	1377	1248	414	1895	1551	1419	862	940	938	919	1053	1289	864	759	659	883	1269	1046	755	502	920	879	935	641	1052	1203	553	957	747	1568	1111	978	1220	1430	566	1364	1133	1059	854	1274	1407	997	746	840	1036	1424	695	1346	930	1019	1736	984	1228	1275
YER019W	1101	595	853	742	1054	917	902	1001	1008	890	768	931	1072	836	609	585	1142	1060	1138	599	835	698	766	655	1022	966	1104	807	676	1015	771	707	1596	1060	787	1163	667	910	936	695	773	893	663	657	1301	1284	1003	840	607	633	662	541	673	764	582	474	665	605	799	555	548	965	810	559	467	849	744	695	781	665	543	922	696	478	641	514	523	508	1165	614	523	782	1030	661	586	458	782	950	548	874	609	598	1079	650	894	843
YER020W	1032	737	1049	641	957	890	1042	936	989	858	720	946	867	992	815	750	1289	901	1052	743	1033	814	964	659	754	1029	931	739	805	924	776	844	1466	963	790	1123	745	1005	879	821	936	713	771	761	1159	1189	773	1012	776	848	767	708	860	1075	780	580	1001	884	1257	787	777	1321	1088	724	636	1187	927	993	1072	763	647	1263	846	714	891	462	646	518	1087	903	693	1351	1297	905	673	835	1078	1131	608	1170	1151	643	1239	844	1066	1064
YER021W	1584	1135	1358	1185	1722	1537	848	1472	1501	1335	1087	1275	1290	1423	988	1284	2012	817	1387	983	1057	1327	1284	1135	791	1404	1793	1401	1262	1019	1274	1087	2273	1745	1225	1271	991	1283	1422	1208	1481	1413	1155	985	1795	2099	993	1630	588	979	611	938	1178	1265	920	486	1061	978	925	1023	662	1452	1748	1000	1041	1547	1206	1102	1348	928	923	1475	998	681	1021	962	903	857	742	605	658	1232	1447	1171	1027	914	610	1119	696	1334	966	944	1875	954	930	857
YER022W	411	282	414	283	566	411	309	354	394	339	282	349	392	359	254	330	498	278	425	317	319	330	376	351	272	400	540	437	340	280	407	345	632	483	365	384	297	382	385	320	408	394	299	292	587	557	283	443	165	313	163	293	317	288	225	143	250	286	228	279	174	443	578	281	299	482	266	345	475	265	215	373	257	180	345	220	247	232	236	159	222	305	376	360	269	234	175	388	171	402	208	297	565	245	247	236
YER023W	2262	1787	2185	1657	1236	2088	2416	1877	2337	1836	1833	1983	2049	1847	1428	1407	3027	2591	2388	1418	1862	1663	1861	1497	2075	2040	2369	1953	1129	2283	1646	1826	3336	2203	1767	2771	1581	2134	1884	1794	1687	1940	1503	1634	967	2566	2154	1961	1185	1426	1689	1404	1546	1907	1532	1179	1160	1324	1959	1417	1375	817	1538	1311	1370	1323	1700	1612	1325	1499	1216	1899	1433	1285	1843	2195	1005	1833	2216	1762	1360	1993	2143	1692	1208	1207	1903	2215	1103	2240	1609	1511	2301	1462	2030	1859
YER024W	502	177	292	332	355	402	252	431	333	381	303	297	454	234	201	212	343	443	432	184	235	271	245	310	350	296	464	324	191	214	346	189	577	418	343	551	201	310	447	202	202	431	209	211	285	571	389	270	124	142	177	142	178	247	149	123	156	163	165	179	115	137	218	168	172	166	193	162	154	140	133	208	144	120	193	130	130	147	207	150	125	204	254	172	131	144	167	227	121	228	165	145	278	175	228	146
YER025W	1580	1501	1729	1370	1234	1714	1108	1597	1572	1588	1076	1416	1555	1819	1104	1404	2596	1156	1382	1219	1076	1151	1413	1306	1151	1434	2308	1606	926	1533	1629	1271	2704	1817	1480	1531	1157	1297	1358	1295	1623	1429	1144	925	1621	2232	1300	1935	1132	1954	1114	1896	2208	1547	1405	1179	1069	1593	1611	1689	957	1583	2265	1877	1700	2112	1932	2545	2019	1662	1132	2150	2142	969	2063	1464	1698	1474	1923	1051	1659	1706	2267	2549	1498	921	1469	2738	970	2856	1283	1696	3658	2109	1912	1834
YER026C	1606	905	1023	1161	818	1356	757	1243	1297	1197	1116	1015	1127	1129	765	907	1571	796	1355	660	762	1021	953	1054	788	1131	1706	1218	635	810	1062	746	1907	1536	1085	1133	667	1049	1319	892	966	1388	803	752	553	1794	953	1030	632	873	626	764	978	1396	859	614	871	868	1005	917	719	542	1162	880	1005	792	986	1023	814	851	944	1486	1001	720	1034	1003	863	844	828	708	643	1245	1440	1033	825	833	727	1082	748	1197	830	918	1671	1031	934	947
YER027C	628	391	607	458	765	522	584	594	604	498	494	566	557	556	440	464	747	526	640	401	492	479	482	410	481	627	676	559	608	517	472	524	976	659	510	661	455	615	547	500	496	526	448	461	1235	816	491	623	392	422	451	426	485	558	439	277	532	463	589	407	376	911	769	375	417	755	527	495	722	392	394	635	471	389	509	374	368	332	560	398	393	551	678	470	471	364	493	607	322	616	525	424	739	442	576	458
YER028C	399	194	271	273	435	332	263	373	298	349	191	271	345	260	225	198	325	305	386	175	234	233	252	214	248	300	397	236	231	245	302	211	467	379	280	389	173	280	408	200	288	355	221	188	372	417	281	301	138	387	246	316	439	239	179	266	266	388	225	382	144	396	693	347	341	569	332	451	519	361	224	179	421	106	414	297	333	401	395	134	233	294	368	463	279	140	182	551	190	582	257	337	654	256	395	312
YER029C	522	386	412	387	855	442	297	484	444	376	352	358	413	415	340	336	519	385	487	256	331	393	349	376	338	472	554	452	461	395	363	318	709	605	407	490	276	472	517	358	375	522	408	299	1178	591	309	413	149	306	232	287	293	325	235	192	297	239	297	294	179	629	690	250	323	718	306	375	594	312	274	353	297	156	361	333	211	375	292	202	212	343	347	356	296	214	180	360	154	442	256	310	618	236	332	303
YER030W	880	754	826	746	1346	866	589	810	880	738	632	703	771	1026	550	748	1211	557	876	487	603	707	815	605	478	830	1145	869	827	590	755	737	1332	1142	774	785	535	766	847	617	690	811	591	562	2910	1398	596	875	291	452	311	413	462	544	422	244	516	438	478	412	268	1023	889	384	395	931	557	482	796	404	452	760	416	365	460	675	370	499	445	361	370	504	748	537	417	424	322	496	286	637	457	474	837	434	482	452
YER031C	1537	1069	1345	1105	910	1257	1294	1236	1485	1214	1104	1219	1223	1332	955	981	1823	1260	1488	854	1123	1050	1112	986	1147	1369	1567	1230	930	1316	1079	1093	2221	1533	1156	1520	966	1343	1164	1182	1156	1234	1030	944	950	1790	1314	1402	722	980	878	974	1041	1194	944	706	817	964	1184	964	792	749	1275	891	933	1058	1149	1118	1102	950	827	1395	1109	860	1254	1474	793	1167	1249	886	881	1291	1413	1187	847	737	929	1333	698	1500	961	1069	1749	961	1160	1190
YER032W	260	124	175	116	347	224	122	217	187	194	158	188	163	172	109	211	215	138	206	119	148	174	154	199	121	210	240	205	162	115	167	149	366	242	189	197	123	158	217	163	187	171	133	133	554	311	125	216	81	169	72	125	172	151	94	88	141	126	133	152	83	342	329	130	188	345	140	189	315	170	111	183	160	69	176	38	156	62	89	72	117	137	176	195	136	88	82	182	89	238	98	158	294	128	110	130
YER033C	274	135	244	187	475	264	186	203	212	256	170	208	219	224	150	206	295	135	245	156	224	212	256	175	148	198	289	184	207	165	179	196	358	293	209	230	175	222	247	191	216	162	181	154	879	384	169	260	139	166	102	154	224	229	171	76	208	192	164	160	126	530	330	142	160	381	206	181	307	131	157	301	170	112	136	85	159	88	199	134	138	226	289	176	158	166	142	171	109	250	170	132	314	166	175	155
YER034W	188	145	182	123	247	210	152	177	237	150	187	168	157	189	145	145	243	143	214	130	182	149	165	140	152	194	252	196	199	172	156	160	296	248	166	210	124	219	212	157	182	199	169	153	422	263	187	186	98	131	91	107	145	180	99	89	137	102	164	127	107	185	217	106	131	199	132	133	183	116	103	162	128	99	140	105	104	113	118	138	76	148	158	132	97	121	87	153	73	155	136	119	241	137	138	120
YER035W	445	228	374	302	620	384	336	359	480	297	290	293	380	336	309	281	426	352	457	252	344	352	315	288	278	447	441	325	432	312	289	282	607	496	327	452	284	446	385	300	309	372	315	265	1102	498	322	398	183	266	219	214	306	343	238	216	376	244	356	296	210	707	599	222	271	532	307	304	468	289	242	412	251	229	269	320	220	340	314	323	223	418	465	291	276	292	215	332	206	435	301	293	465	211	323	338
YER036C	2570	2243	2312	1761	1570	2577	1783	2789	2523	2206	1842	1865	2329	2482	1672	1757	3619	2078	2340	1782	1853	1720	2031	1928	2029	2297	3351	2391	1809	1975	2268	1848	3791	2554	2097	2452	1679	2231	2379	2014	2362	2638	1878	1610	1131	2906	2043	2572	1444	2588	1719	2522	3120	2271	1759	1897	2156	2388	2367	2571	1546	1415	3765	2564	2921	2442	2413	3310	2553	2716	1817	2438	3043	1416	3257	2183	2329	2597	2966	1549	2155	2545	2969	3418	2045	1255	1730	3961	1502	3827	2029	2723	4997	2694	2563	2515
YER037W	139	104	145	105	115	115	92	129	154	106	111	98	108	120	88	99	181	93	156	85	98	131	109	97	98	99	138	101	106	94	100	93	185	172	109	136	80	119	137	86	97	103	93	93	140	167	92	134	225	288	302	280	364	434	311	172	363	296	328	335	262	371	519	298	282	323	430	325	386	279	376	465	259	287	320	372	271	317	344	280	225	450	495	356	349	334	276	359	268	430	368	253	525	354	417	349
YER038C	86	56	51	55	63	68	41	78	59	49	34	54	59	63	54	46	84	46	65	43	46	62	51	43	34	70	78	58	51	41	58	39	91	85	49	61	51	53	77	48	55	69	56	46	46	101	51	46	46	111	58	76	97	127	72	63	77	109	95	108	63	116	138	94	107	99	106	103	113	86	114	134	95	72	93	115	96	98	77	50	67	136	129	95	83	99	67	106	93	122	109	99	187	91	97	85
YER039C	187	100	132	121	94	144	161	132	168	102	135	161	144	127	118	133	186	149	189	90	116	142	104	105	135	165	154	108	87	149	112	117	239	176	127	185	116	156	181	138	143	165	119	121	80	206	121	116	63	56	56	54	61	92	73	37	75	64	80	57	64	56	77	53	61	44	87	66	53	67	62	115	54	50	83	71	48	46	86	84	51	128	112	66	47	66	80	76	46	91	78	51	94	66	83	54
YER039C-A	50	25	35	32	42	48	39	40	43	26	38	39	36	58	54	31	43	30	45	19	32	32	28	24	39	49	28	32	31	36	32	32	67	34	31	39	29	54	43	34	18	26	42	30	28	51	37	35	19	20	18	15	19	28	22	12	29	21	33	27	21	20	39	16	13	30	25	16	26	16	17	31	22	23	24	13	14	11	22	25	18	31	40	17	23	22	20	29	12	17	19	17	25	15	26	21
YER040W	378	218	344	217	537	324	269	369	363	272	264	295	329	312	259	299	335	311	364	228	274	293	319	248	232	381	365	297	346	269	251	275	545	409	328	352	222	342	330	300	355	299	278	259	843	458	268	379	200	207	165	166	203	353	203	139	324	198	269	184	166	497	363	172	204	379	258	204	360	206	152	387	238	191	209	111	163	77	251	183	188	297	349	237	218	187	227	277	129	307	213	167	355	202	231	199
YER041W	302	201	219	203	450	274	176	260	287	216	205	238	238	244	147	221	308	209	244	184	202	248	253	180	194	290	365	250	275	200	209	222	428	338	239	277	211	220	300	222	283	251	209	203	477	379	196	283	104	161	91	137	176	192	123	90	186	154	175	150	96	296	326	168	182	310	164	165	276	154	130	214	144	108	122	116	134	96	128	102	117	198	209	185	142	157	108	208	84	216	160	139	271	166	139	147
YER042W	559	430	460	417	268	521	295	436	578	458	365	405	399	504	400	457	736	269	486	330	371	452	423	365	282	534	592	489	370	357	481	424	735	638	400	402	328	445	474	457	533	558	413	353	183	637	320	581	97	121	80	119	165	254	159	88	158	154	148	148	138	63	195	131	166	112	136	151	112	131	139	508	132	147	154	190	140	142	102	98	103	175	221	155	105	261	93	188	109	183	158	139	224	127	117	122
YER043C	4769	3351	3996	2782	2084	3959	4377	4399	4717	3539	3887	3458	3875	4033	3248	2947	6037	4682	4419	2964	3613	3198	3567	3061	4552	4167	5386	3994	2408	3908	3456	3343	6585	4061	3323	4752	3066	4204	3582	3767	3672	4206	3138	3078	2053	4828	4450	4162	3272	3852	3891	4153	4729	4977	3564	4176	3136	3604	5419	4485	3700	2385	4605	4023	5076	3716	4301	5097	3512	4931	3237	5420	4915	3404	6524	2882	3694	3560	6072	4347	4033	5646	5371	5034	3311	3159	4636	6878	3108	6027	4259	5124	7724	5256	4842	5991
YER044C	362	240	313	312	219	296	268	315	460	276	303	328	245	313	268	280	500	269	400	260	287	339	295	235	243	405	393	288	246	306	258	309	504	400	283	335	249	351	334	334	366	349	314	319	125	439	271	380	288	397	315	382	448	600	442	278	407	416	494	431	354	312	681	398	433	443	481	472	400	435	434	650	406	364	501	518	346	444	424	400	352	624	583	501	409	443	319	439	314	566	463	452	735	433	433	413
YER044C-A	9	9	15	10	20	12	12	16	10	16	7	11	12	9	15	13	14	2	6	12	9	14	11	8	5	13	16	5	12	2	15	9	17	13	11	11	7	14	10	11	7	12	9	7	30	21	7	17	3	20	2	4	11	13	7	8	7	11	7	12	5	20	17	12	10	12	11	14	13	13	12	12	7	11	7	5	10	5	4	4	8	11	12	10	5	11	7	14	6	19	5	13	28	11	6	12
YER045C	417	221	400	299	680	379	283	494	405	356	304	317	381	311	281	314	425	325	440	278	327	334	337	310	327	393	580	379	378	307	382	325	672	467	388	441	249	375	446	360	335	425	295	264	1277	641	309	374	199	297	230	253	331	338	259	185	423	296	325	326	251	783	683	272	337	733	318	365	668	315	250	495	314	242	328	208	243	211	353	259	258	409	474	343	314	260	231	381	200	422	336	295	581	288	337	306
YER046W	233	138	183	146	96	186	179	180	221	156	157	147	191	134	129	124	210	210	220	132	143	172	150	140	170	190	206	192	145	190	160	159	297	219	160	207	105	199	201	157	138	200	153	133	49	221	170	181	68	100	106	106	115	129	102	77	106	105	155	91	84	71	144	90	99	88	136	119	81	110	86	133	90	114	120	175	75	142	130	105	84	169	157	116	114	93	110	148	69	147	109	87	143	111	132	121
YER047C	585	481	526	395	890	554	437	606	532	551	417	470	518	630	427	504	818	379	584	453	485	514	544	425	411	597	842	573	501	465	575	412	1049	731	582	634	437	570	605	456	615	623	459	426	1334	921	405	564	178	273	139	244	313	272	210	140	282	251	243	307	142	548	531	257	252	476	253	336	468	248	194	372	285	143	248	124	238	163	224	160	227	281	297	333	220	183	180	379	140	350	234	258	516	255	227	273
YER048C	1234	1304	1172	1021	1036	1393	856	1058	1203	1150	853	1151	1126	1332	844	1075	2079	814	1260	959	946	1040	1257	987	801	1281	1711	1214	845	994	1164	1082	1959	1564	1112	1118	938	1178	1210	941	1300	1113	909	868	1137	1847	847	1245	504	759	443	649	924	902	696	395	693	735	719	636	519	781	957	688	697	741	789	863	833	595	532	1217	800	482	701	678	642	648	612	522	571	923	1165	878	663	679	549	990	432	970	707	624	1379	737	721	657
YER048W-A	376	223	371	264	361	291	254	349	390	279	218	281	274	323	247	240	411	227	376	202	219	340	227	240	189	340	363	291	312	213	258	300	456	374	275	292	240	347	305	246	297	317	266	233	258	397	246	371	107	179	139	184	222	244	196	112	239	211	214	223	125	276	335	181	228	305	190	198	360	212	220	262	194	191	232	254	146	218	176	164	153	250	288	231	189	180	124	236	142	240	228	207	287	186	180	188
YER049W	494	624	593	397	370	586	379	555	494	468	409	446	470	649	393	480	870	390	469	438	437	370	463	430	399	542	825	581	333	454	508	532	833	608	382	540	393	459	456	491	612	520	433	333	376	641	409	586	288	719	340	652	757	448	427	427	374	553	471	690	294	417	898	651	741	670	559	871	681	655	379	538	774	306	790	633	604	680	555	323	532	547	625	867	475	285	352	923	308	997	403	717	1387	651	544	556
YER050C	430	233	396	305	485	390	264	409	413	378	322	313	303	334	302	353	405	224	435	245	286	377	291	330	243	413	544	383	393	281	358	321	637	450	362	390	248	392	453	330	392	404	353	310	478	578	298	399	173	270	177	276	286	374	251	158	331	247	295	308	187	367	558	271	256	400	319	326	431	270	279	475	289	227	276	313	222	275	259	212	191	362	418	316	282	262	199	371	194	380	291	314	546	288	275	258
YER051W	196	147	155	153	280	168	126	167	174	141	122	113	147	171	142	144	234	101	173	113	121	177	147	120	106	222	235	157	177	124	147	105	299	205	153	145	112	165	161	142	189	193	160	122	368	283	136	173	71	136	61	120	146	151	98	74	144	131	122	134	77	206	275	154	125	263	128	135	245	115	111	188	130	82	123	103	114	96	101	77	85	158	176	131	110	103	88	136	107	168	114	114	251	129	120	121
YER052C	899	681	885	520	586	812	720	933	938	635	634	731	715	881	702	637	1198	626	886	611	660	667	672	595	626	830	1034	812	670	718	664	728	1221	849	613	777	531	807	735	734	841	849	703	602	475	986	687	1007	791	727	667	784	890	1495	990	487	1005	778	1104	815	826	630	1097	764	862	839	1010	898	804	850	821	1690	812	815	874	717	663	656	892	867	767	1218	1443	949	787	962	808	1070	627	1121	979	746	1406	923	917	769
YER053C	629	446	565	412	392	519	512	505	622	483	426	503	432	579	481	509	847	477	608	414	532	561	529	332	416	660	617	465	490	508	476	535	868	604	431	592	426	578	516	467	583	468	504	480	372	744	437	586	795	952	914	1018	1191	1414	997	621	1161	1027	1282	890	935	867	1273	927	780	808	1190	1048	956	846	908	1788	1002	1005	1109	1048	845	924	1064	952	972	1499	1673	1078	827	1139	1046	1171	734	1269	1219	934	1830	1291	1106	1173
YER053C-A	9	0	3	4	9	2	2	2	3	2	3	2	3	2	4	4	2	4	6	1	3	4	3	0	1	2	4	3	4	3	1	3	4	2	5	6	0	3	6	2	1	4	3	0	30	3	0	1	2	1	2	0	3	2	2	1	3	3	3	4	1	19	4	3	4	9	2	1	15	4	2	7	1	3	4	1	3	2	3	4	3	3	4	11	2	7	2	4	0	4	7	2	7	1	3	1
YER054C	408	172	253	264	416	340	231	280	373	292	251	308	353	263	211	229	391	382	421	178	259	287	250	245	303	357	398	255	253	253	250	213	492	396	291	453	218	336	355	241	238	317	245	262	353	498	284	272	231	149	226	147	191	369	234	96	258	215	266	122	203	366	258	148	110	163	302	165	213	131	228	461	134	201	138	204	147	130	234	267	112	311	408	164	203	276	224	183	166	203	272	152	263	138	273	200
YER055C	1307	1244	1458	915	1200	1344	1290	1119	1473	1077	1106	1289	1197	1284	1005	1081	2061	1061	1345	925	998	1095	1321	1005	1093	1432	1485	1328	973	1234	998	1134	2087	1493	1105	1316	991	1328	1133	1164	1202	1213	1070	1143	1564	1566	1129	1365	1621	1523	1440	1701	1926	2824	2021	1127	2034	1567	2295	1585	1768	2262	2295	1529	1733	2239	2191	1901	2186	1637	1542	3108	1689	1758	1767	2342	1277	1788	2048	1846	1600	2605	2812	2033	1690	1769	2008	2456	1202	2440	1947	1694	2782	1872	2097	1673
YER056C	734	714	879	576	383	818	735	828	867	696	576	770	845	972	616	754	1239	636	707	657	726	755	731	649	576	885	1029	674	578	846	656	807	1211	770	640	781	621	842	691	747	843	731	712	588	230	969	674	1038	1257	1324	804	1294	1505	2138	1578	851	1442	1358	1821	1421	1412	563	1586	1297	1394	870	1312	1616	1072	1324	925	3216	1461	1323	1368	1179	1110	1061	1475	1373	1380	2159	2029	1514	1083	1479	1458	1982	807	1868	1574	1239	2522	1607	1405	1317
YER056C-A	2338	2302	2392	1658	1672	2371	2031	2361	2678	1953	1641	1872	2111	2210	1795	1453	3743	2260	2356	1842	1860	1966	2040	1689	1879	2470	2722	2081	2163	2402	2030	2071	3602	2513	1916	2319	1786	2493	2378	2068	2281	2308	2247	1771	1149	2531	1740	2269	1377	1715	1876	1855	2161	2370	1598	1445	1964	1790	2323	2147	1478	1660	3075	1774	2232	2315	1937	2689	2139	2262	1573	1965	2033	1503	2566	2908	1262	3277	2006	1730	1636	2571	2682	2427	1564	1580	2005	2945	1247	3265	1998	2084	3272	1944	2227	2293
YER057C	1229	686	1344	919	986	985	1229	1194	1378	845	821	1093	1116	914	902	749	1380	1232	1385	819	1004	1046	936	857	1059	1195	1239	1087	932	1197	924	1166	1742	1238	1048	1385	890	1257	1080	1087	965	1034	1033	995	1264	1268	1153	1261	665	737	871	920	860	1069	871	558	850	703	1083	854	725	966	1037	726	814	1080	926	867	1077	860	683	1066	715	765	958	1242	527	1107	1161	853	785	1153	1118	1010	702	766	871	1151	541	1162	862	823	1201	785	951	845
YER058W	221	156	251	192	276	187	216	196	255	182	186	213	219	208	192	178	258	197	232	151	176	211	171	141	199	262	293	176	178	207	196	181	376	246	172	275	146	252	216	198	203	236	199	159	490	294	188	214	135	124	169	122	147	209	149	63	136	109	177	117	136	277	206	115	101	208	178	139	196	127	118	281	136	131	135	210	99	144	189	156	108	212	241	120	116	154	139	148	110	189	157	149	202	137	182	177
YER059W	580	325	446	360	558	427	373	478	503	393	369	424	462	419	346	371	542	394	589	325	402	499	431	379	340	535	562	387	484	342	453	371	775	592	415	489	363	486	550	317	506	529	391	354	647	709	377	478	207	309	296	299	353	413	278	211	350	327	331	336	218	645	563	324	301	570	334	360	554	293	295	431	313	226	349	263	284	276	264	235	233	433	468	360	268	287	234	398	239	429	341	290	559	269	333	313
YER060W	370	246	297	257	192	297	293	323	336	276	228	301	304	321	246	281	424	277	351	232	243	298	285	259	244	386	401	275	270	347	273	284	493	381	259	342	230	369	311	276	321	338	266	230	184	433	281	355	197	298	194	245	289	350	280	162	285	259	289	242	216	227	349	223	267	267	291	286	272	265	193	393	271	204	239	243	192	194	263	262	237	374	412	328	178	248	282	367	155	355	283	249	474	266	277	240
YER060W-A	120	101	133	83	91	102	94	117	112	95	71	95	118	137	77	102	155	103	119	101	89	125	103	101	96	164	137	78	122	123	100	101	170	99	90	111	74	111	92	114	122	110	104	69	121	146	103	136	115	143	104	124	144	218	148	83	180	139	179	147	157	158	174	135	131	158	158	168	170	143	93	306	166	132	133	131	147	142	165	139	122	224	210	158	101	139	172	196	82	199	144	120	277	145	160	156
YER061C	224	150	274	142	126	204	251	152	264	164	151	226	198	206	149	189	331	186	224	118	197	201	212	147	147	248	203	165	129	206	139	209	320	223	172	245	195	244	179	203	160	171	158	211	150	255	184	212	191	142	175	183	169	322	202	107	211	166	277	164	222	188	202	143	146	142	217	152	131	147	147	462	147	227	152	178	122	119	205	265	177	330	326	151	142	245	265	211	126	190	252	151	292	198	186	170
YER062C	911	703	721	577	719	715	874	743	955	643	623	843	730	767	595	601	1224	720	909	565	686	690	767	621	655	864	819	714	597	717	635	659	1358	877	673	906	594	944	756	695	660	731	619	682	1574	1012	737	804	793	600	724	587	700	1224	884	370	902	722	1116	588	812	1211	870	574	522	615	977	693	673	630	717	1387	655	904	655	1047	447	631	984	903	608	1268	1313	672	722	940	851	803	628	875	949	549	942	779	965	840
YER063W	1117	1033	880	787	977	1118	532	975	1017	964	758	766	675	1112	689	936	1623	435	1015	676	740	927	970	757	477	1069	1344	977	752	613	921	683	1415	1168	834	861	605	1076	1080	823	1020	1066	921	689	848	1567	671	1022	308	528	235	397	566	684	390	280	593	466	498	508	389	574	906	497	513	586	442	571	593	488	537	821	460	363	462	625	446	516	401	312	341	685	798	561	478	488	241	545	421	616	518	442	999	471	394	500
YER064C	914	513	747	512	1120	867	702	945	918	670	653	692	819	680	541	646	989	827	871	465	638	679	644	649	807	835	1094	774	650	661	784	595	1324	751	743	987	627	883	822	676	673	826	602	607	1923	1079	764	845	771	754	819	853	984	1380	991	537	1193	886	1192	798	788	1935	1484	801	892	1374	1046	952	1349	831	783	1429	873	844	876	359	768	456	1110	908	864	1388	1499	1031	857	920	1012	1213	665	1237	1019	870	1597	984	993	901
YER065C	740	397	519	475	536	640	534	756	639	622	502	530	693	565	390	391	719	798	766	324	492	487	404	440	673	586	786	518	404	475	511	394	944	674	529	862	388	598	695	407	433	707	424	416	531	852	725	514	264	338	376	291	358	462	318	263	395	321	481	371	307	290	499	348	325	411	404	341	379	358	320	439	376	284	414	272	289	286	544	355	285	489	519	381	315	306	370	519	268	430	365	366	603	325	491	380
YER066W	204	111	140	136	121	212	144	180	201	151	139	142	185	162	123	98	224	187	213	97	158	180	136	126	145	199	219	145	131	133	170	115	257	165	140	220	119	171	174	120	116	177	150	121	128	246	135	155	70	120	110	131	136	162	98	65	123	118	135	117	107	104	148	108	97	112	136	109	124	108	103	154	98	93	110	164	82	120	116	103	103	178	184	117	121	129	108	149	86	152	122	115	202	116	166	125
YER067W	1201	453	768	866	1192	997	749	951	836	915	614	915	975	635	538	551	936	990	1328	395	773	1005	617	614	610	835	930	494	825	621	726	564	1291	1172	784	1204	565	893	1202	577	588	905	466	648	870	1246	826	758	3007	2972	5120	2973	3963	7581	4343	2003	6511	3976	4859	3434	3877	6388	5661	3031	2299	4073	5657	3045	4265	2900	5137	5526	2824	5336	3528	7880	2411	4186	5043	4892	2612	7661	8365	3151	4393	5899	4099	3481	3925	4544	5577	2698	4841	3011	5485	4210
YER068W	689	362	558	427	1293	599	433	741	557	528	504	502	586	522	386	484	690	480	635	417	480	491	484	510	488	658	733	541	636	519	581	470	1112	736	568	624	421	586	697	486	571	640	502	403	2408	854	474	597	286	436	294	429	517	500	390	289	459	402	417	428	273	1170	1002	445	471	1195	436	593	909	451	346	635	464	296	483	169	377	270	397	338	318	479	631	542	380	298	330	617	231	646	414	429	932	448	379	449
YER069W	395	359	410	267	248	376	348	334	431	322	296	389	333	413	336	341	643	275	380	276	310	337	392	288	265	450	462	401	247	329	305	364	579	418	356	344	335	431	343	326	383	318	367	348	203	499	270	435	227	153	148	129	179	438	245	114	265	164	294	142	194	135	221	126	153	133	227	149	123	149	159	555	149	255	163	168	139	94	182	246	173	274	388	161	166	274	193	181	134	181	220	157	289	189	196	145
YER070W	364	388	379	209	215	403	284	367	437	293	366	316	297	421	280	297	582	257	322	290	304	272	344	276	301	405	554	474	196	338	332	294	648	380	323	297	285	395	303	336	410	355	322	275	276	476	289	435	372	570	227	470	527	499	381	377	252	449	506	502	297	316	707	573	744	643	424	645	513	575	332	673	660	251	651	352	445	395	430	294	422	420	466	633	384	233	351	886	252	680	304	645	1096	524	409	387
YER071C	142	85	123	117	116	114	73	120	150	96	87	96	86	112	95	127	170	61	122	82	102	117	96	90	65	154	147	123	156	68	98	105	186	147	97	104	73	148	137	109	129	124	120	90	73	170	78	155	41	87	38	81	96	117	78	37	101	81	65	71	71	69	126	73	108	104	98	92	113	81	71	142	74	73	83	105	63	98	47	28	56	122	110	104	54	106	43	93	64	127	82	82	158	71	56	76
